Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
137,Jordi Cortizo,mx MEX,"MF,FW",mx Monterrey,27,1996,7,2,243,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
138,Cade Cowell,us USA,FW,mx Guadalajara,20,2003,4,3,244,2.7,3,1,4,3,0,0,0,0,1.11,0.37,1.48,1.11,1.48,Matches
139,Aarón Cruz,cr CRC,GK,cr Herediano,32,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Allan Cruz,cr CRC,MF,cr Herediano,27,1996,5,5,393,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
141,Andrés Cubas,py PAR,MF,ca Vancouver W'caps,27,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Cucho,co COL,"FW,MF",us Columbus Crew,24,1999,6,5,483,5.4,2,0,2,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
143,Sergio Cunningham,pa PAN,MF,ni Real Estelí FC,29,1994,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Richard Dabas,do DOM,"MF,DF",do Moca FC,29,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Jesse Daley,au AUS,MF,ca Cavalry FC,26,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Dagur Dan Þórhallsson,is ISL,DF,us Orlando City,23,2000,3,3,270,3,0,1,1,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
147,Jesús Daniel Bueno,ve VEN,MF,us Philadelphia Union,24,1999,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Orman Davis,pa PAN,DF,pa CA Independiente,21,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Sean Davis,us USA,MF,us Nashville SC,30,1993,3,3,236,2.6,0,1,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Matches
150,Javier De la Espada,pa PAN,MF,pa CA Independiente,25,1998,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Nelson Deossa,co COL,MF,mx Pachuca,23,2000,7,7,585,6.5,2,2,4,2,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches
152,Lucas Dias,pt POR,MF,ca Cavalry FC,21,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Luis Díaz,cr CRC,MF,cr Saprissa,25,1998,2,2,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Javairô Dilrosun,nl NED,MF,mx América,25,1998,5,1,146,1.6,0,1,1,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
155,Ronaldo Dinolis,pa PAN,FW,pa CA Independiente,29,1994,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Alexei Dominguez,mx MEX,MF,mx Pachuca,19,2005,4,0,94,1,1,0,1,1,0,0,0,0,0.96,0,0.96,0.96,0.96,Matches
157,Christopher Donovan,us USA,FW,us Philadelphia Union,23,2000,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Griffin Dorsey,us USA,"DF,MF",us Houston Dynamo,24,1999,4,4,350,3.9,1,0,1,0,1,1,1,0,0.26,0,0.26,0,0,Matches
159,Jonathan dos Santos,mx MEX,MF,mx América,33,1990,6,6,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
160,Andres Dumitrescu,sr SUR,FW,sr SV Robinhood,22,2001,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Malcolm Duncan,ca CAN,DF,ca Forge FC,24,1999,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Kelvin Durán,do DOM,DF,do Moca FC,29,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Chris Durkin,us USA,MF,us St. Louis City,23,2000,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Javon East,jm JAM,FW,cr Saprissa,28,1995,2,1,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Javier Eduardo López,mx MEX,MF,mx Pachuca,29,1994,1,0,15,0.2,0,2,2,0,0,0,0,0,0,12,12,0,12,Matches
166,Earl Edwards Jr.,us USA,GK,us NE Revolution,32,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Jack Elliott,eng ENG,DF,us Philadelphia Union,28,1995,2,1,111,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
168,Luis Enrique Quiñones,co COL,"MF,FW",mx UANL,32,1991,6,4,335,3.7,1,0,1,1,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
169,Ramiro Enrique,ar ARG,MF,us Orlando City,22,2001,4,1,168,1.9,1,0,1,1,0,0,0,0,0.54,0,0.54,0.54,0.54,Matches
170,Murgillio Esajas,sr SUR,MF,sr SV Robinhood,22,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Fidel Escobar,pa PAN,DF,cr Saprissa,29,1995,2,2,210,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches
172,Franco Escobar,ar ARG,DF,us Houston Dynamo,28,1995,3,2,210,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
173,Juan Escobar,py PAR,DF,mx Toluca,28,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Karel Espino,cu CUB,DF,gt Comunicaciones,22,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Dagoberto Espinoza,mx MEX,MF,mx América,19,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Enrique Etcheverry,uy URU,"MF,DF",do Moca FC,27,1996,2,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Fernán Faerrón,cr CRC,DF,cr Herediano,23,2000,6,6,511,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
178,Andrew Farrell,us USA,DF,us NE Revolution,31,1992,5,4,370,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
179,Mohamed Farsi,dz ALG,MF,us Columbus Crew,24,1999,5,5,435,4.8,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
180,Felipe,br BRA,MF,us Orlando City,33,1990,3,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Carlos Felipe Rodríguez,mx MEX,GK,mx UANL,34,1989,3,3,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Luis Fernando Fuentes,mx MEX,DF,mx América,37,1986,3,2,173,1.9,0,1,1,0,0,0,0,0,0,0.52,0.52,0,0.52,Matches
183,Iván Fernando Ochoa,mx MEX,MF,ni Real Estelí FC,27,1996,2,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Sebastián Ferreira,py PAR,FW,us Houston Dynamo,25,1998,1,1,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Álvaro Fidalgo,es ESP,MF,mx América,26,1997,8,7,640,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Luis Fields,pa PAN,MF,pa CA Independiente,20,2003,2,2,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
187,Sebastián Fierro,mx MEX,MF,mx UANL,22,2001,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Marvin Fletes,ni NCA,DF,ni Real Estelí FC,26,1997,2,2,170,1.9,1,0,1,1,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
189,Marcelo Flores,mx MEX,MF,mx UANL,20,2003,3,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
190,Jonathan Fonkel,sr SUR,GK,sr SV Robinhood,18,2005,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Douglas Forvis,ni NCA,GK,ni Real Estelí FC,31,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Isaiah Foster,us USA,DF,us FC Cincinnati,20,2003,1,0,45,0.5,1,0,1,1,0,0,0,0,2,0,2,2,2,Matches
193,José Francisco,do DOM,DF,do Moca FC,23,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Ariel Francisco Rodríguez,cr CRC,FW,cr Saprissa,34,1989,2,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Christian Franco,mx MEX,DF,mx Monterrey,19,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Jaheem Frazer,jm JAM,MF,jm Cavalier FC,19,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Nicolás Freire,ar ARG,DF,us Inter Miami,29,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Keysher Fuller,cr CRC,DF,cr Herediano,29,1994,3,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Julian Gaines,us USA,DF,us Nashville SC,21,2002,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
200,McKinze Gaines,us USA,MF,us Nashville SC,25,1998,3,1,115,1.3,1,0,1,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Jesús Gallardo,mx MEX,"MF,FW",mx Monterrey,29,1994,7,7,530,5.9,2,2,4,2,0,0,1,0,0.34,0.34,0.68,0.34,0.68,Matches
202,Pedro Gallese,pe PER,GK,us Orlando City,33,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Orlando Galo,cr CRC,MF,cr Herediano,23,2000,5,5,405,4.5,0,2,2,0,0,0,3,0,0,0.44,0.44,0,0.44,Matches
204,Alexis Gamboa,cr CRC,DF,cr Alajuelense,24,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Gael García,mx MEX,FW,mx Guadalajara,19,2004,2,1,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Lynner García,gt GUA,FW,gt Comunicaciones,23,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Adrián Garza,mx MEX,FW,cr Herediano,23,2000,5,2,273,3,2,0,2,2,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
208,César Garza,mx MEX,MF,mx Monterrey,18,2005,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
209,Jesús Garza,mx MEX,"DF,MF",mx UANL,23,2000,4,3,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Ryan Gauld,sct SCO,"MF,FW",ca Vancouver W'caps,28,1995,2,2,166,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
211,Dániel Gazdag,hu HUN,"MF,FW",us Philadelphia Union,27,1996,4,4,337,3.7,0,3,3,0,0,0,0,0,0,0.8,0.8,0,0.8,Matches
212,André-Pierre Gignac,fr FRA,FW,mx UANL,38,1985,6,6,528,5.9,4,0,4,3,1,1,0,0,0.68,0,0.68,0.51,0.51,Matches
213,Carles Gil,es ESP,MF,us NE Revolution,31,1992,4,3,228,2.5,0,1,1,0,0,0,0,0,0,0.39,0.39,0,0.39,Matches
214,Nacho Gil,es ESP,"MF,FW",us NE Revolution,28,1995,5,5,384,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
215,Jakob Glesnes,no NOR,DF,us Philadelphia Union,29,1994,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Aníbal Godoy,pa PAN,MF,us Nashville SC,33,1990,4,4,276,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
217,Diego Gómez,py PAR,MF,us Inter Miami,20,2003,4,4,355,3.9,1,1,2,1,0,0,1,0,0.25,0.25,0.51,0.25,0.51,Matches
218,Alfonso González,mx MEX,"MF,FW",mx Monterrey,29,1994,3,2,131,1.5,1,0,1,1,0,0,0,0,0.69,0,0.69,0.69,0.69,Matches
219,Armando González,mx MEX,FW,mx Guadalajara,20,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Bryan González,mx MEX,DF,mx Pachuca,20,2003,7,7,618,6.9,1,1,2,1,0,0,2,0,0.15,0.15,0.29,0.15,0.29,Matches
221,Erick González,gt GUA,DF,gt Comunicaciones,24,1999,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
222,Jamel González,pa PAN,MF,pa CA Independiente,22,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Owen González,mx MEX,MF,mx Pachuca,20,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
224,Fernando Gorriarán,uy URU,MF,mx UANL,29,1994,6,4,381,4.2,1,0,1,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
225,Omar Govea,mx MEX,MF,mx Monterrey,28,1996,3,1,122,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Ján Greguš,sk SVK,MF,us Houston Dynamo,33,1991,4,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Julian Gressel,us USA,"DF,MF",us Inter Miami,30,1993,4,4,349,3.9,0,1,1,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches
228,Edson Gutiérrez,mx MEX,DF,mx Monterrey,28,1996,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
229,Erick Gutiérrez,mx MEX,MF,mx Guadalajara,28,1995,3,2,164,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
230,Diego Gutiérrez Zuñiga,ca CAN,MF,ca Cavalry FC,26,1997,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,David Guzmán,cr CRC,MF,cr Saprissa,33,1990,1,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
232,Nahuel Guzmán,ar ARG,GK,mx UANL,37,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Víctor Guzmán,mx MEX,MF,mx Guadalajara,28,1995,2,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Víctor Guzmán,mx MEX,DF,mx Monterrey,21,2002,6,4,422,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Michael Halliday,us USA,DF,us Orlando City,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Bret Halsey,us USA,MF,us FC Cincinnati,23,2000,3,2,148,1.6,0,3,3,0,0,0,0,0,0,1.82,1.82,0,1.82,Matches
237,Jordan Hamilton,ca CAN,FW,ca Forge FC,27,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Ian Harkes,us USA,MF,us NE Revolution,28,1995,5,3,263,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Nathan Harriel,us USA,DF,us Philadelphia Union,22,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Maël Henry,ca CAN,MF,ca Cavalry FC,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Anthony Hernández,cr CRC,FW,cr Alajuelense,22,2001,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Bancy Hernández,ni NCA,"MF,FW",ni Real Estelí FC,23,2000,2,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Illian Hernandez,mx MEX,FW,mx América,23,2000,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Javier Hernández,mx MEX,FW,mx Guadalajara,35,1988,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Jesús Hernández,mx MEX,MF,mx Pachuca,22,2001,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Yoserth Hernández,cr CRC,MF,cr Saprissa,28,1996,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Ozziel Herrera,mx MEX,MF,mx UANL,22,2001,6,2,276,3.1,1,1,2,1,0,0,1,0,0.33,0.33,0.65,0.33,0.65,Matches
248,Marino Hinestroza,co COL,"MF,FW",us Columbus Crew,21,2002,6,4,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Grégory Hoarau,sr SUR,FW,sr SV Robinhood,39,1984,2,0,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
250,Alessandro Hojabrpour,ca CAN,MF,ca Forge FC,24,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Valber Huerta,cl CHI,DF,mx Toluca,30,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
252,Héctor Hurtado,pa PAN,MF,pa CA Independiente,25,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
253,Nicolás Ibáñez,ar ARG,"FW,MF",mx UANL,29,1994,4,0,50,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
254,Aliyu Ibrahim,ng NGA,"MF,FW",us Houston Dynamo,22,2002,4,3,265,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
255,Oussama Idrissi,ma MAR,MF,mx Pachuca,27,1996,7,7,578,6.4,1,6,7,1,0,0,1,0,0.16,0.93,1.09,0.16,1.09,Matches
256,Bjørn Inge Utvik,no NOR,DF,ca Vancouver W'caps,27,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Gadial Irving,jm JAM,DF,jm Cavalier FC,25,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Mauricio Isais,mx MEX,"MF,DF",mx Toluca,22,2001,2,2,158,1.8,1,0,1,1,0,0,2,1,0.57,0,0.57,0.57,0.57,Matches
259,Aziel Jackson,us USA,MF,us St. Louis City,22,2001,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,John Jairo Ruiz,cr CRC,MF,cr Herediano,30,1994,4,1,91,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
261,Manjrekar James,ca CAN,DF,cr Alajuelense,30,1993,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
262,Robin Jansson,se SWE,DF,us Orlando City,32,1991,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Luis Javier Paradela,cu CUB,MF,cr Saprissa,27,1997,2,1,99,1.1,1,1,2,0,1,1,0,0,0.91,0.91,1.82,0,0.91,Matches
264,Noah Jensen,ca CAN,MF,ca Forge FC,24,1999,2,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Juan de Jesús,do DOM,DF,do Moca FC,21,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
266,Antonio de Jesús López,gt GUA,FW,gt Comunicaciones,26,1997,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Keudy Jiménez,do DOM,DF,do Moca FC,19,2004,1,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
268,Stiven Jimenez,us USA,MF,us FC Cincinnati,16,2007,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Levonte Johnson,ca CAN,FW,ca Vancouver W'caps,24,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
270,DeJuan Jones,us USA,DF,us NE Revolution,26,1997,5,4,383,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
271,Derrick Jones,us USA,MF,us Columbus Crew,26,1997,4,2,208,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
272,Juan José Sánchez,mx MEX,DF,mx UANL,26,1998,3,1,97,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
